ip范围	位置
202.120.40.66-202.120.40.89	上海交通大学 软件学院
202.120.40.90	上海交通大学 数字艺术实验室
202.120.40.91	上海交通大学 物流信息系统实验室
202.120.40.92	上海交通大学 软件学院
202.120.40.93-202.120.40.95	上海交通大学 数字医疗实验室
202.120.40.96-202.120.40.123	上海交通大学 软件学院
202.120.40.124	上海交通大学 普式计算实验室(一楼)
202.120.40.125	上海交通大学 软件大楼3号楼1楼教室
202.120.40.126-202.120.40.255	上海交通大学 软件学院
202.120.41.0-202.120.41.255	上海交通大学
202.120.42.0-202.120.42.255	上海交通大学闵行校区 教工宿舍
202.120.43.0-202.120.43.255	上海交通大学闵行校区 铁生馆
202.120.44.0-202.120.44.255	上海交通大学 环境科学楼
202.120.45.0-202.120.45.255	上海交通大学闵行校区 生物楼
202.120.46.0-202.120.46.255	上海交通大学
202.120.47.0-202.120.47.54	上海交通大学 软件学院
202.120.47.55-202.120.47.57	上海交通大学 植物生物技术研发中心(学生实验室)
202.120.47.58-202.120.47.80	上海交通大学 软件学院
202.120.47.81	上海交通大学 网络中心
202.120.47.82-202.120.47.255	上海交通大学 软件学院
202.120.48.0-202.120.48.255	上海交通大学 汽车工程研究院
202.120.49.0	上海交通大学闵行校区 能源楼
202.120.49.1-202.120.49.2	上海交通大学闵行校区 先进热处理与表面改性工程研究中心
202.120.49.3-202.120.49.255	上海交通大学闵行校区 能源楼
202.120.50.0-202.120.50.17	上海交通大学闵行校区 建工楼
202.120.50.18	上海交通大学闵行校区 智能工程结构实验中心
202.120.50.19-202.120.50.21	上海交通大学闵行校区 建工楼
202.120.50.22	上海交通大学闵行校区 电工力学楼
202.120.50.23-202.120.50.42	上海交通大学闵行校区 建工楼
202.120.50.43	上海交通大学闵行校区 船建学院力学系
202.120.50.44-202.120.50.255	上海交通大学闵行校区 建工楼
202.120.51.0-202.120.51.255	上海交通大学闵行校区 化学楼
202.120.52.0-202.120.52.255	上海交通大学闵行校区 物理楼
202.120.53.0-202.120.53.255	上海交通大学闵行校区 机械楼群
202.120.54.0-202.120.54.255	上海交通大学闵行校区 生物楼
202.120.55.0-202.120.55.255	上海交通大学闵行校区
202.120.56.0-202.120.56.255	上海交通大学闵行校区 行政楼
202.120.57.0-202.120.57.25	上海交通大学闵行校区 图书馆
202.120.57.26	上海交通大学闵行校区图书馆本科生阅览室蓝牌 26
202.120.57.27	上海交通大学闵行校区图书馆本科生阅览室蓝牌 27
202.120.57.28	上海交通大学闵行校区图书馆本科生阅览室蓝牌 28
202.120.57.29	上海交通大学闵行校区图书馆本科生阅览室蓝牌 29
202.120.57.30	上海交通大学闵行校区图书馆本科生阅览室蓝牌 30
202.120.57.31	上海交通大学闵行校区图书馆本科生阅览室蓝牌 31
202.120.57.32	上海交通大学闵行校区图书馆本科生阅览室蓝牌 32
202.120.57.33	上海交通大学闵行校区图书馆本科生阅览室蓝牌 33
202.120.57.34	上海交通大学闵行校区图书馆本科生阅览室蓝牌 34
202.120.57.35	上海交通大学闵行校区图书馆本科生阅览室蓝牌 35
202.120.57.36	上海交通大学闵行校区图书馆本科生阅览室蓝牌 36
202.120.57.37	上海交通大学闵行校区图书馆本科生阅览室蓝牌 37
202.120.57.38	上海交通大学闵行校区图书馆本科生阅览室蓝牌 38
202.120.57.39	上海交通大学闵行校区图书馆本科生阅览室蓝牌 39
202.120.57.40	上海交通大学闵行校区图书馆本科生阅览室蓝牌 40
202.120.57.41	上海交通大学闵行校区图书馆本科生阅览室蓝牌 41
202.120.57.42	上海交通大学闵行校区图书馆本科生阅览室蓝牌 42
202.120.57.43	上海交通大学闵行校区图书馆本科生阅览室蓝牌 43
202.120.57.44	上海交通大学闵行校区图书馆本科生阅览室蓝牌 44
202.120.57.45	上海交通大学闵行校区图书馆本科生阅览室蓝牌 45
202.120.57.46	上海交通大学闵行校区图书馆本科生阅览室蓝牌 46
202.120.57.47	上海交通大学闵行校区图书馆本科生阅览室蓝牌 47
202.120.57.48	上海交通大学闵行校区图书馆本科生阅览室蓝牌 48
202.120.57.49	上海交通大学闵行校区图书馆本科生阅览室蓝牌 49
202.120.57.50	上海交通大学闵行校区图书馆本科生阅览室蓝牌 50
202.120.57.51	上海交通大学闵行校区图书馆本科生阅览室蓝牌 51
202.120.57.52	上海交通大学闵行校区图书馆本科生阅览室蓝牌 52
202.120.57.53	上海交通大学闵行校区图书馆本科生阅览室蓝牌 53
202.120.57.54	上海交通大学闵行校区图书馆本科生阅览室蓝牌 54
202.120.57.55	上海交通大学闵行校区图书馆本科生阅览室蓝牌 55
202.120.57.56	上海交通大学闵行校区图书馆本科生阅览室蓝牌 56
202.120.57.57	上海交通大学闵行校区图书馆本科生阅览室蓝牌 57
202.120.57.58	上海交通大学闵行校区图书馆本科生阅览室蓝牌 58
202.120.57.59	上海交通大学闵行校区图书馆本科生阅览室蓝牌 59
202.120.57.60	上海交通大学闵行校区图书馆本科生阅览室蓝牌 60
202.120.57.61	上海交通大学闵行校区图书馆本科生阅览室蓝牌 61
202.120.57.62	上海交通大学闵行校区图书馆本科生阅览室蓝牌 62
202.120.57.63	上海交通大学闵行校区图书馆本科生阅览室蓝牌 63
202.120.57.64	上海交通大学闵行校区图书馆本科生阅览室蓝牌 64
202.120.57.65	上海交通大学闵行校区图书馆本科生阅览室蓝牌 65
202.120.57.66	上海交通大学闵行校区图书馆本科生阅览室蓝牌 66
202.120.57.67	上海交通大学闵行校区图书馆本科生阅览室蓝牌 67
202.120.57.68	上海交通大学闵行校区图书馆本科生阅览室蓝牌 68
202.120.57.69	上海交通大学闵行校区图书馆本科生阅览室蓝牌 69
202.120.57.70	上海交通大学闵行校区图书馆本科生阅览室蓝牌 70
202.120.57.71	上海交通大学闵行校区图书馆本科生阅览室蓝牌 71
202.120.57.72	上海交通大学闵行校区图书馆本科生阅览室蓝牌 72
202.120.57.73	上海交通大学闵行校区图书馆本科生阅览室蓝牌 73
202.120.57.74	上海交通大学闵行校区图书馆本科生阅览室蓝牌 74
202.120.57.75	上海交通大学闵行校区图书馆本科生阅览室蓝牌 75
202.120.57.76	上海交通大学闵行校区图书馆本科生阅览室蓝牌 76
202.120.57.77	上海交通大学闵行校区图书馆本科生阅览室蓝牌 77
202.120.57.78	上海交通大学闵行校区图书馆本科生阅览室蓝牌 78
202.120.57.79	上海交通大学闵行校区图书馆本科生阅览室蓝牌 79
202.120.57.80	上海交通大学闵行校区图书馆本科生阅览室蓝牌 80
202.120.57.81	上海交通大学闵行校区图书馆本科生阅览室蓝牌 81
202.120.57.82	上海交通大学闵行校区图书馆本科生阅览室蓝牌 82
202.120.57.83	上海交通大学闵行校区图书馆本科生阅览室蓝牌 83
202.120.57.84	上海交通大学闵行校区图书馆本科生阅览室蓝牌 84
202.120.57.85	上海交通大学闵行校区图书馆本科生阅览室蓝牌 85
202.120.57.86	上海交通大学闵行校区图书馆本科生阅览室蓝牌 86
202.120.57.87	上海交通大学闵行校区图书馆本科生阅览室蓝牌 87
202.120.57.88	上海交通大学闵行校区图书馆本科生阅览室蓝牌 88
202.120.57.89	上海交通大学闵行校区图书馆本科生阅览室蓝牌 89
202.120.57.90	上海交通大学闵行校区图书馆本科生阅览室蓝牌 90
202.120.57.91	上海交通大学闵行校区图书馆本科生阅览室蓝牌 91
202.120.57.92	上海交通大学闵行校区图书馆本科生阅览室蓝牌 92
